Date,FTSE100,Rtn
8/9/1995,3468.3,-0.000144152
8/10/1995,3474.7,0.001843584
8/11/1995,3467.5,-0.002074271
8/14/1995,3441.4,-0.007555508
8/15/1995,3444.4,0.000871359
8/16/1995,3465.1,0.005991768
8/17/1995,3470.6,0.001585997
8/18/1995,3509.8,0.011231566
8/21/1995,3535.7,0.007352244
8/22/1995,3530.2,-0.001556773
8/23/1995,3515.9,-0.004058989
8/24/1995,3520,0.001165452
8/25/1995,3524.9,0.001391077
8/29/1995,3502.6,-0.006346517
8/30/1995,3504,0.000399623
8/31/1995,3477.8,-0.007505263
9/1/1995,3509.4,0.009045173
9/4/1995,3522.7,0.003782658
9/5/1995,3532.4,0.002749786
9/6/1995,3557.7,0.007136742
9/7/1995,3545.6,-0.003406871
9/8/1995,3554.5,0.002507008
9/11/1995,3549.3,-0.001464005
9/12/1995,3535.9,-0.003782537
9/13/1995,3570.8,0.009821796
9/14/1995,3565.4,-0.001513411
9/15/1995,3564.6,-0.000224404
9/18/1995,3533.3,-0.008819567
9/19/1995,3541.4,0.002289851
9/20/1995,3561.5,0.005659675
9/21/1995,3557.9,-0.001011321
9/22/1995,3514.8,-0.012187859
9/25/1995,3507,-0.002221653
9/26/1995,3523.3,0.004637079
9/27/1995,3485,-0.010930006
9/28/1995,3479,-0.001723148
9/29/1995,3508.2,0.008358189
10/2/1995,3520.2,0.003414721
10/3/1995,3524.2,0.001135654
10/4/1995,3544.1,0.005630789
10/5/1995,3544.4,8.46441E-05
10/6/1995,3526.5,-0.005063016
10/9/1995,3510.3,-0.004604374
10/10/1995,3460.1,-0.014404014
10/11/1995,3474.3,0.004095529
10/12/1995,3523.8,0.014146933
10/13/1995,3568,0.012465262
10/16/1995,3557.3,-0.003003385
10/17/1995,3562.2,0.001376501
10/18/1995,3593,0.008609177
10/19/1995,3578.6,-0.004015846
10/20/1995,3551.4,-0.007629771
10/23/1995,3531.5,-0.005619182
10/24/1995,3535.3,0.001075452
10/25/1995,3537.8,0.000706904
10/26/1995,3519.6,-0.005157718
10/27/1995,3497.9,-0.006184558
10/30/1995,3510,0.003453249
10/31/1995,3529.1,0.005426843
11/1/1995,3518.7,-0.002951278
11/2/1995,3523,0.001221296
11/3/1995,3500.4,-0.006435652
11/6/1995,3514.8,0.004105377
11/7/1995,3522.4,0.002159951
11/8/1995,3537.1,0.004164607
11/9/1995,3541.6,0.00127142
11/10/1995,3523.4,-0.00515217
11/13/1995,3536.8,0.003795931
11/14/1995,3547.9,0.003133516
11/15/1995,3571.4,0.006601797
11/16/1995,3610.8,0.010971679
11/17/1995,3609.2,-0.000443213
11/20/1995,3628.8,0.005415874
11/21/1995,3604.1,-0.006829929
11/22/1995,3632.4,0.007821501
11/23/1995,3602.5,-0.008265538
11/24/1995,3624,0.005950339
11/27/1995,3649,0.006874769
11/28/1995,3648.8,-5.4811E-05
11/29/1995,3655.5,0.001834536
11/30/1995,3664.3,0.002404438
12/1/1995,3664.3,0
12/4/1995,3669.7,0.001472594
12/5/1995,3664.2,-0.001499884
12/6/1995,3662.8,-0.000382148
12/7/1995,3639.5,-0.006381573
12/8/1995,3630,-0.002613661
12/11/1995,3652.1,0.006069696
12/12/1995,3654.9,0.000766388
12/13/1995,3662.4,0.002049937
12/14/1995,3671.6,0.002508864
12/15/1995,3642.6,-0.007929822
12/18/1995,3596.1,-0.012847787
12/19/1995,3576.9,-0.005353421
12/20/1995,3613.7,0.010235675
12/21/1995,3633.3,0.005409148
12/22/1995,3658.3,0.006857232
12/27/1995,3676.4,0.004935454
12/28/1995,3676.7,8.15982E-05
12/29/1995,3689.3,0.003421127
1/2/1996,3687.9,-0.000379548
1/3/1996,3715.6,0.007482982
1/4/1996,3714.1,-0.000403785
1/5/1996,3704.5,-0.002588091
1/8/1996,3720.6,0.004336649
1/9/1996,3720.6,0
1/10/1996,3671.5,-0.013284648
1/11/1996,3654.9,-0.004531565
1/12/1996,3657.3,0.000656437
1/15/1996,3662.7,0.00147541
1/16/1996,3710.6,0.012993008
1/17/1996,3704.2,-0.001726278
1/18/1996,3748.7,0.011941802
1/19/1996,3748.4,-8.00309E-05
1/22/1996,3754.2,0.001546131
1/23/1996,3735,-0.005127395
1/24/1996,3758.2,0.006192301
1/25/1996,3734.2,-0.006406514
1/26/1996,3734.7,0.000133889
1/29/1996,3734.6,-2.67763E-05
1/30/1996,3735.3,0.000187419
1/31/1996,3759.3,0.006404633
2/1/1996,3752.8,-0.001730542
2/2/1996,3781.3,0.007565638
2/5/1996,3746.6,-0.009219104
2/6/1996,3747.5,0.000240189
2/7/1996,3726.1,-0.005726841
2/8/1996,3708.4,-0.004761594
2/9/1996,3716.3,0.002128033
2/12/1996,3726.6,0.00276774
2/13/1996,3747.6,0.005619345
2/14/1996,3745,-0.000694018
2/15/1996,3779.8,0.009249481
2/16/1996,3770.9,-0.002357398
2/19/1996,3744.3,-0.007079016
2/20/1996,3714.6,-0.007963683
2/21/1996,3725.6,0.002956912
2/22/1996,3740,0.003857699
2/23/1996,3740.3,8.02107E-05
2/26/1996,3704.2,-0.009698511
2/27/1996,3715.9,0.003153599
2/28/1996,3738.2,0.005983302
2/29/1996,3727.6,-0.002839617
3/1/1996,3752.7,0.006710986
3/4/1996,3768.6,0.004227999
3/5/1996,3777.1,0.00225294
3/6/1996,3758.9,-0.004830158
3/7/1996,3758.2,-0.000186242
3/8/1996,3710.3,-0.012827383
3/11/1996,3674.5,-0.009695667
3/12/1996,3639.5,-0.009570759
3/13/1996,3640.3,0.000219786
3/14/1996,3681.8,0.011335667
3/15/1996,3644.8,-0.010100269
3/18/1996,3669.6,0.00678117
3/19/1996,3693,0.006356472
3/20/1996,3685.4,-0.002060068
3/21/1996,3698.3,0.003494187
3/22/1996,3707,0.00234967
3/25/1996,3681.9,-0.006794001
3/26/1996,3660.9,-0.005719904
3/27/1996,3672.4,0.00313638
3/28/1996,3672.6,5.44588E-05
3/29/1996,3699.7,0.007351877
4/1/1996,3718.4,0.005041733
4/2/1996,3728.5,0.00271254
4/3/1996,3725.1,-0.000912311
4/4/1996,3755.6,0.008154362
4/9/1996,3758.6,0.000798488
4/10/1996,3767.4,0.002338561
4/11/1996,3744.2,-0.006177132
4/12/1996,3766.8,0.006017859
4/15/1996,3790.5,0.006272102
4/16/1996,3825.3,0.009138959
4/17/1996,3805.6,-0.005163229
4/18/1996,3820.7,0.003959986
4/19/1996,3857.1,0.009481954
4/22/1996,3852.7,-0.001141405
4/23/1996,3833,-0.005126415
4/24/1996,3817.6,-0.004025833
4/25/1996,3819.3,0.000445207
4/26/1996,3832.8,0.003528447
4/29/1996,3809.2,-0.006176413
4/30/1996,3817.9,0.00228134
5/1/1996,3806,-0.003121764
5/2/1996,3776.4,-0.007807594
5/3/1996,3751.6,-0.006588759
5/7/1996,3723,-0.007652621
5/8/1996,3707.3,-0.004225946
5/9/1996,3728.3,0.005648517
5/10/1996,3754.4,0.00697612
5/13/1996,3739.2,-0.004056801
5/14/1996,3759.7,0.005467482
5/15/1996,3776.2,0.004379046
5/16/1996,3753.6,-0.006002834
5/17/1996,3789.6,0.009545093
5/20/1996,3778.2,-0.003012767
5/21/1996,3789.4,0.002959989
5/22/1996,3764.2,-0.00667234
5/23/1996,3747,-0.004579835
5/24/1996,3752.1,0.001360163
5/28/1996,3760.2,0.002156464
5/29/1996,3775.7,0.004113648
5/30/1996,3746.7,-0.007710343
5/31/1996,3747.8,0.000293549
6/3/1996,3739.2,-0.002297316
6/4/1996,3755.2,0.004269861
6/5/1996,3753.4,-0.00047945
6/6/1996,3760.3,0.001836646
6/7/1996,3706.8,-0.014329771
6/10/1996,3728.8,0.005917495
6/11/1996,3755.7,0.00718822
6/12/1996,3769.2,0.003588091
6/13/1996,3761.7,-0.001991794
6/14/1996,3753.6,-0.002155603
6/17/1996,3761.5,0.002102435
6/18/1996,3756.4,-0.001356762
6/19/1996,3753.2,-0.000852243
6/20/1996,3727.5,-0.006871042
6/21/1996,3722.3,-0.001396011
6/24/1996,3710.8,-0.00309427
6/25/1996,3679.5,-0.008470613
6/26/1996,3695.5,0.00433899
6/27/1996,3678.8,-0.004529251
6/28/1996,3711,0.00871477
7/1/1996,3725.6,0.003926531
7/2/1996,3725.7,2.6841E-05
7/3/1996,3714.1,-0.003118366
7/4/1996,3760.6,0.012442131
7/5/1996,3743.2,-0.004637659
7/8/1996,3741.5,-0.00045426
7/9/1996,3752.3,0.002882385
7/10/1996,3765.8,0.003591337
7/11/1996,3749,-0.004471184
7/12/1996,3728.3,-0.005536772
7/15/1996,3698.3,-0.008079111
7/16/1996,3632.3,-0.018007198
7/17/1996,3658.2,0.007105167
